"health","level","moves","r0c0","r0c1","r0c2","r0c3","r0c4","r0c5","r0c6","r1c0","r1c1","r1c2","r1c3","r1c4","r1c5","r1c6","r2c0","r2c1","r2c2","r2c3","r2c4","r2c5","r2c6","r3c0","r3c1","r3c2","r3c3","r3c4","r3c5","r3c6","r4c0","r4c1","r4c2","r4c3","r4c4","r4c5","r4c6","r5c0","r5c1","r5c2","r5c3","r5c4","r5c5","r5c6","r6c0","r6c1","r6c2","r6c3","r6c4","r6c5","r6c6","s0d0","s0d1","s0d2","s0d3","s0d4","s0d5","s0d6","s1d0","s1d1","s1d2","s1d3","s1d4","s1d5","s1d6","s2d0","s2d1","s2d2","s2d3","s2d4","s2d5","s2d6","s3d0","s3d1","s3d2","s3d3","s3d4","s3d5","s3d6","s4d0","s4d1","s4d2","s4d3","s4d4","s4d5","s4d6","s5d0","s5d1","s5d2","s5d3","s5d4","s5d5","s5d6","s6d0","s6d1","s6d2","s6d3","s6d4","s6d5","s6d6"
1,59,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sword","enemy","","","","","sword","enemy","enemy","","","","","enemy","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,60,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hammer","boulder","","","","","boulder","boulder","boulder","","","","","sword","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,61,10,"start","marsh","grass","","","","","marsh","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","sword","enemy","","","","","gem","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,62,8,"start","grass","grass","","","","","grass","grass","grass","","","","","endClosed","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sword","warp","","","","","enemy","enemy","gem","","","","","","boulder","warp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,63,5,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","enemy","","","","","sword","enemy","enemy","","","","","warp","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,64,7,"endClosed","start","grass","","","","","grass","grass","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","enemy","boulder","sword","","","","","gem","sword","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,65,6,"start","grass","grass","","","","","grass","grass","grass","","","","","endClosed","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hammer","gem","","","","","boulder","warp","enemy","","","","","","gem","warp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,66,7,"start","grass","grass","","","","","grass","grass","endClosed","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sword","gem","","","","","warp","boulder","","","","","","gem","warp","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,67,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","boulder","","","","","warp","boulder","gem","","","","","hammer","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,68,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","hammer","","","","","warp","gem","enemy","","","","","sword","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,69,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","gem","","","","","sword","boulder","gem","","","","","hammer","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,70,8,"start","grass","endClosed","","","","","grass","grass","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enemy","","","","","","warp","warp","boulder","","","","","gem","sword","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,71,9,"grass","grass","start","","","","","grass","grass","endClosed","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","boulder","","","","","","gem","warp","","","","","","sword","warp","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,72,9,"start","marsh","grass","","","","","marsh","marsh","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","sword","","","","","gem","gem","enemy","","","","","sword","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,73,12,"start","marsh","marsh","","","","","marsh","endClosed","marsh","","","","","marsh","marsh","marsh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","","","","","","enemy","","sword","","","","","gem","enemy","warp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,74,15,"start","marsh","marsh","","","","","marsh","marsh","marsh","","","","","marsh","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","sword","","","","","warp","gem","enemy","","","","","gem","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,75,10,"start","marsh","marsh","","","","","marsh","marsh","marsh","","","","","marsh","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enemy","enemy","","","","","gem","enemy","gem","","","","","sword","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,76,2,"start","ice","ice","","","","","grass","grass","ice","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,77,3,"start","ice","ice","","","","","marsh","marsh","ice","","","","","endClosed","ice","ice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,78,4,"start","ice","ice","","","","","ice","grass","ice","","","","","ice","ice","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","","gem","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,79,4,"start","grass","grass","","","","","grass","ice","ice","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","gem","","","","","","","warp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,80,7,"start","grass","grass","","","","","ice","grass","endClosed","","","","","ice","ice","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sword","","","","","","boulder","","","","","","","gem","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,81,10,"start","grass","marsh","","","","","endClosed","grass","ice","","","","","marsh","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","","","","","","","enemy","gem","","","","","","sword","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,82,5,"start","ice","ice","","","","","ice","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","gem","warp","warp","","","","","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,83,6,"start","grass","grass","","","","","ice","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","gem","boulder","","","","","","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,84,6,"start","ice","ice","","","","","grass","grass","grass","","","","","endClosed","ice","ice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","","sword","enemy","","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,85,7,"start","ice","grass","","","","","ice","grass","grass","","","","","grass","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","","","","","","gem","boulder","","","","","warp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,86,6,"start","endClosed","ice","","","","","grass","grass","ice","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","hammer","boulder","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,87,7,"start","ice","ice","","","","","marsh","marsh","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","","","enemy","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,88,7,"start","ice","grass","","","","","ice","ice","ice","","","","","grass","ice","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","sword","","","","","gem","gem","gem","","","","","enemy","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,89,7,"start","grass","endClosed","","","","","ice","ice","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enemy","","","","","","gem","gem","boulder","","","","","sword","enemy","hammer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,90,7,"start","grass","grass","","","","","endClosed","ice","grass","","","","","grass","grass","ice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enemy","sword","","","","","","gem","enemy","","","","","sword","enemy","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,91,7,"start","ice","grass","","","","","grass","grass","grass","","","","","endClosed","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","enemy","","","","","boulder","warp","boulder","","","","","","warp","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,92,6,"start","ice","marsh","","","","","endClosed","ice","marsh","","","","","grass","grass","marsh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","gem","","","","","","sword","enemy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
