hash,level,moves,health,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,s0d0,s0d1,s0d2,s0d3,s0d4,s0d5,s1d0,s1d1,s1d2,s1d3,s1d4,s1d5,s2d0,s2d1,s2d2,s2d3,s2d4,s2d5,s3d0,s3d1,s3d2,s3d3,s3d4,s3d5,s4d0,s4d1,s4d2,s4d3,s4d4,s4d5,s5d0,s5d1,s5d2,s5d3,s5d4,s5d5
39,39,7,2,start,grass,grass,,,,grass,grass,endClosed,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,sword,gem,,,,warp,boulder,,,,,gem,warp,enemy,,,,,,,,,,,,,,,,,,,,,
40,40,7,1,start,ice,ice,,,,marsh,marsh,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,,enemy,,,,sword,gem,,,,,,,,,,,,,,,,,,,,,,
41,41,7,3,start,ice,grass,,,,ice,ice,ice,,,,grass,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,sword,,,,gem,gem,gem,,,,enemy,gem,,,,,,,,,,,,,,,,,,,,,,
42,42,7,2,start,grass,endClosed,,,,ice,ice,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,gem,gem,boulder,,,,sword,enemy,hammer,,,,,,,,,,,,,,,,,,,,,
43,43,9,2,start,grass,grass,,,,endClosed,ice,grass,,,,grass,grass,ice,,,,,,,,,,,,,,,,,,,,,,,enemy,sword,,,,,gem,enemy,,,,sword,enemy,gem,,,,,,,,,,,,,,,,,,,,,
44,44,7,2,start,ice,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,gem,enemy,,,,boulder,warp,boulder,,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,
45,45,7,2,start,ice,marsh,,,,endClosed,ice,marsh,,,,grass,grass,marsh,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,
46,46,6,2,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,warp,boulder,gem,,,,hammer,enemy,,,,,,,,,,,,,,,,,,,,,,
47,47,8,3,grass,ice,ice,,,,ice,start,grass,,,,ice,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,enemy,gem,gem,,,,gem,,warp,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,,
48,48,6,2,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,hammer,,,,warp,gem,enemy,,,,sword,boulder,,,,,,,,,,,,,,,,,,,,,,
49,49,10,1,start,ice,ice,,,,ice,ice,grass,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,14,1,start,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,warp,gem,gem,,,warp,boulder,gem,gem,,,gem,hammer,boulder,boulder,,,gem,gem,boulder,,,,,,,,,,,,,,,
51,51,7,1,start,ice,ice,grass,,,grass,grass,ice,grass,,,ice,ice,ice,grass,,,ice,grass,grass,endClosed,,,,,,,,,,,,,,,,gem,gem,boulder,,,boulder,boulder,gem,boulder,,,gem,gem,gem,boulder,,,gem,hammer,boulder,,,,,,,,,,,,,,,
52,52,12,2,start,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,gem,enemy,warp,,,gem,hammer,boulder,boulder,,,boulder,boulder,boulder,warp,,,sword,gem,boulder,,,,,,,,,,,,,,,
53,53,12,3,grass,grass,grass,grass,,,grass,start,grass,grass,,,grass,grass,endClosed,grass,,,grass,grass,grass,grass,,,,,,,,,,,,,,,gem,enemy,hammer,boulder,,,enemy,,warp,hammer,,,sword,warp,,boulder,,,boulder,sword,boulder,gem,,,,,,,,,,,,,,
54,54,10,1,start,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,hammer,gem,boulder,,,hammer,boulder,boulder,boulder,,,hammer,boulder,boulder,boulder,,,boulder,boulder,boulder,,,,,,,,,,,,,,,
55,55,12,3,start,grass,grass,grass,,,grass,marsh,marsh,grass,,,grass,marsh,marsh,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,sword,enemy,gem,,,sword,,,enemy,,,enemy,,,enemy,,,enemy,enemy,enemy,,,,,,,,,,,,,,,
56,56,15,1,start,marsh,grass,grass,,,marsh,marsh,grass,grass,,,grass,grass,marsh,marsh,,,grass,grass,marsh,endClosed,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,gem,,,gem,gem,,,,,gem,gem,,,,,,,,,,,,,,,,
57,57,17,2,start,endClosed,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,enemy,gem,,,gem,sword,,enemy,,,enemy,boulder,sword,gem,,,gem,enemy,gem,enemy,,,,,,,,,,,,,,
58,58,5,1,start,ice,ice,grass,,,ice,grass,grass,ice,,,ice,grass,grass,ice,,,endClosed,ice,ice,grass,,,,,,,,,,,,,,,,gem,gem,warp,,,gem,enemy,enemy,gem,,,gem,enemy,enemy,gem,,,,gem,gem,warp,,,,,,,,,,,,,,
59,59,9,1,start,grass,grass,grass,,,ice,ice,grass,grass,,,ice,ice,grass,grass,,,grass,grass,endClosed,grass,,,,,,,,,,,,,,,,,,gem,,,,,gem,,,,,,boulder,,,,boulder,gem,,boulder,,,,,,,,,,,,,,
60,60,13,2,start,ice,ice,grass,,,ice,marsh,ice,marsh,,,ice,ice,ice,grass,,,grass,marsh,grass,endClosed,,,,,,,,,,,,,,,,gem,gem,sword,,,gem,,gem,,,,gem,gem,gem,boulder,,,enemy,,enemy,,,,,,,,,,,,,,,
61,61,12,2,start,grass,grass,ice,,,grass,grass,grass,ice,,,endClosed,grass,grass,ice,,,grass,marsh,ice,ice,,,,,,,,,,,,,,,,,enemy,gem,,,,,,gem,,,,,,gem,,,sword,,gem,gem,,,,,,,,,,,,,,
62,62,12,1,start,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,warp,boulder,gem,boulder,,,gem,gem,boulder,warp,,,hammer,,boulder,,,,,,,,,,,,,,,
63,63,6,1,start,ice,marsh,grass,,,ice,marsh,grass,marsh,,,marsh,ice,ice,grass,,,marsh,ice,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,sword,,,,,,,enemy,,,,,,,,,,,,,,,,,,,,
64,64,16,1,start,marsh,grass,grass,,,grass,marsh,marsh,grass,,,grass,grass,marsh,grass,,,grass,grass,marsh,endClosed,,,,,,,,,,,,,,,,,boulder,gem,,,warp,,,boulder,,,hammer,boulder,,boulder,,,warp,boulder,,,,,,,,,,,,,,,,
65,65,7,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,gem,,boulder,,,hammer,,boulder,,,,,,,,,,,,,,,
66,66,6,3,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,boulder,,,,,,gem,enemy,,,boulder,,,gem,,,,sword,,,,,,,,,,,,,,,,
67,67,8,1,start,endClosed,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,gem,gem,,,boulder,,,boulder,,,boulder,boulder,hammer,,,,,gem,,,,,,,,,,,,,,,,
68,68,18,1,start,marsh,ice,marsh,,,marsh,marsh,ice,marsh,,,ice,ice,ice,marsh,,,marsh,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,gem,,,,,,gem,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,
69,69,8,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,boulder,,,,,,gem,,,hammer,gem,boulder,,,,boulder,,,,,,,,,,,,,,,,,
70,70,7,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,gem,,,gem,,gem,warp,,,warp,boulder,,gem,,,gem,,,,,,,,,,,,,,,,,
71,71,10,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,warp,gem,,,,gem,warp,gem,,,,boulder,,,,,,gem,enemy,sword,,,,,,,,,,,,,,,
72,72,5,2,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,enemy,,,,,sword,enemy,boulder,,,enemy,enemy,enemy,gem,,,hammer,gem,gem,,,,,,,,,,,,,,,
73,73,9,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,boulder,,warp,,,,gem,,gem,,,,warp,gem,,,,boulder,,,,,,,,,,,,,,,,,
74,74,7,1,start,grass,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,gem,gem,gem,,,boulder,hammer,,gem,,,gem,gem,gem,gem,,,gem,gem,gem,,,,,,,,,,,,,,,
75,75,8,5,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,enemy,,,,enemy,gem,,,,,,,,,,,gem,enemy,,,,,,,,,,,,,,,
76,76,6,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,hammer,gem,boulder,,,,,,hammer,,,gem,,gem,boulder,,,boulder,,,,,,,,,,,,,,,,,
77,77,12,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,boulder,hammer,gem,,,,gem,boulder,,,,,,,,,,,,,,,,
78,78,6,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,hammer,hammer,,,,,,,,,,gem,,gem,boulder,,,boulder,,boulder,,,,,,,,,,,,,,,
79,79,9,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,hammer,,,,,boulder,gem,,,boulder,hammer,,boulder,,,gem,boulder,gem,,,,,,,,,,,,,,,
80,80,7,3,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,enemy,warp,,,gem,,enemy,gem,,,gem,,enemy,warp,,,sword,gem,enemy,,,,,,,,,,,,,,,
81,81,5,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,warp,gem,gem,,,,gem,,warp,gem,,,,,,,,,,,,,,,,,,,,
82,82,7,1,start,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,boulder,,,,,,,,,boulder,gem,,hammer,,,gem,,boulder,,,,,,,,,,,,,,,
83,83,10,2,start,grass,grass,grass,,,grass,ice,ice,grass,,,grass,ice,ice,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,sword,,,,gem,gem,enemy,,,,gem,gem,enemy,,,sword,enemy,enemy,,,,,,,,,,,,,,,
84,84,10,2,start,ice,ice,ice,,,grass,ice,ice,ice,,,grass,ice,ice,ice,,,grass,grass,endClosed,grass,,,,,,,,,,,,,,,,warp,gem,warp,,,,boulder,enemy,boulder,,,,gem,gem,gem,,,,,,hammer,,,,,,,,,,,,,,
85,85,8,2,start,grass,endClosed,grass,,,grass,ice,ice,marsh,,,ice,ice,ice,grass,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,boulder,,,,,hammer,,,,,,gem,,,gem,,,enemy,gem,gem,,,,,,,,,,,,,,,
86,86,12,1,start,endClosed,ice,ice,,,marsh,marsh,ice,ice,,,marsh,marsh,ice,ice,,,marsh,marsh,ice,ice,,,,,,,,,,,,,,,,,gem,gem,,,,,,gem,,,,,,gem,,,gem,gem,gem,gem,,,,,,,,,,,,,,
87,87,5,2,start,ice,ice,endClosed,,,grass,ice,ice,grass,,,grass,ice,ice,grass,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,enemy,,,,,,sword,,,,,,,,,,,gem,gem,,,,,,,,,,,,,,,
88,88,9,1,start,grass,ice,grass,,,grass,ice,ice,grass,,,grass,ice,ice,grass,,,grass,ice,grass,endClosed,,,,,,,,,,,,,,,,,gem,warp,,,,gem,gem,sword,,,,gem,gem,,,,warp,gem,enemy,,,,,,,,,,,,,,,
89,89,12,2,start,endClosed,marsh,marsh,,,ice,grass,grass,marsh,,,ice,grass,grass,marsh,,,ice,ice,ice,marsh,,,,,,,,,,,,,,,,,gem,gem,,,gem,sword,,gem,,,gem,,,gem,,,gem,gem,gem,enemy,,,,,,,,,,,,,,
90,90,8,1,start,endClosed,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,boulder,,,,,,gem,gem,,,,hammer,,boulder,,,boulder,gem,,hammer,,,,,,,,,,,,,,
91,91,8,1,start,grass,grass,grass,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,hammer,enemy,gem,,,,,,boulder,,,sword,gem,gem,,,,boulder,,boulder,,,,,,,,,,,,,,,
92,92,6,2,start,ice,ice,grass,,,ice,ice,grass,grass,,,ice,ice,grass,grass,,,ice,ice,endClosed,grass,,,,,,,,,,,,,,,,gem,,enemy,,,,,gem,sword,,,boulder,,boulder,hammer,,,,,,boulder,,,,,,,,,,,,,,
93,93,9,1,start,endClosed,grass,grass,,,grass,ice,ice,grass,,,grass,ice,ice,grass,,,grass,ice,ice,grass,,,,,,,,,,,,,,,,,boulder,,,,,boulder,,hammer,,,,gem,,gem,,,,boulder,gem,boulder,,,,,,,,,,,,,,
94,94,10,2,start,grass,grass,grass,,,grass,ice,ice,grass,,,grass,ice,ice,grass,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,gem,,,,,,hammer,,,,,gem,enemy,,,gem,sword,boulder,,,,,,,,,,,,,,,
95,95,9,3,start,grass,grass,endClosed,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,enemy,enemy,,,,,enemy,gem,,,gem,sword,enemy,gem,,,,,,,,,,,,,,
96,96,7,1,start,ice,ice,marsh,,,ice,marsh,marsh,ice,,,ice,marsh,marsh,ice,,,grass,ice,ice,endClosed,,,,,,,,,,,,,,,,,,boulder,,,gem,,,gem,,,gem,,,gem,,,boulder,hammer,,,,,,,,,,,,,,,,
97,97,11,1,start,ice,marsh,ice,,,endClosed,ice,marsh,ice,,,grass,ice,marsh,ice,,,grass,grass,marsh,ice,,,,,,,,,,,,,,,,gem,,,,,,,hammer,gem,,,,gem,,,,,,boulder,,gem,,,,,,,,,,,,,,
98,98,15,2,start,marsh,ice,marsh,,,ice,ice,ice,marsh,,,marsh,ice,ice,ice,,,marsh,ice,marsh,endClosed,,,,,,,,,,,,,,,,hammer,gem,,,,gem,boulder,,,,,,,enemy,gem,,,,gem,sword,,,,,,,,,,,,,,,
99,99,11,1,start,endClosed,grass,grass,,,marsh,ice,ice,grass,,,grass,ice,ice,marsh,,,grass,marsh,ice,grass,,,,,,,,,,,,,,,,,,warp,,,,,,gem,,,gem,,,,,,,,warp,gem,,,,,,,,,,,,,,
100,100,14,1,start,grass,grass,grass,grass,,grass,grass,grass,grass,grass,,grass,grass,grass,grass,grass,,grass,grass,grass,grass,grass,,grass,grass,grass,grass,endClosed,,,,,,,,,gem,gem,boulder,boulder,,boulder,boulder,gem,boulder,boulder,,gem,gem,gem,boulder,boulder,,gem,boulder,boulder,gem,gem,,gem,gem,gem,gem,,,,,,,,
101,101,19,1,start,grass,marsh,marsh,marsh,,marsh,grass,marsh,grass,marsh,,marsh,grass,endClosed,grass,ice,,marsh,grass,grass,grass,marsh,,marsh,marsh,marsh,marsh,marsh,,,,,,,,,boulder,,,,,hammer,boulder,,boulder,gem,,hammer,boulder,,boulder,,,,boulder,boulder,boulder,gem,,,,,,,,,,,,,
102,102,14,2,start,ice,marsh,ice,marsh,,ice,ice,ice,ice,ice,,marsh,ice,marsh,ice,marsh,,ice,ice,ice,ice,ice,,marsh,ice,marsh,ice,endClosed,,,,,,,,,gem,enemy,,enemy,,warp,gem,sword,gem,,,enemy,gem,enemy,gem,enemy,,,gem,sword,gem,warp,,enemy,gem,enemy,,,,,,,,,
103,103,21,2,start,grass,marsh,marsh,marsh,,grass,grass,marsh,marsh,marsh,,ice,ice,grass,marsh,marsh,,ice,ice,ice,grass,grass,,ice,ice,ice,grass,endClosed,,,,,,,,,boulder,gem,,,,,boulder,,sword,,,warp,,enemy,,warp,,,hammer,,boulder,boulder,,,,gem,boulder,,,,,,,,
104,104,24,1,start,grass,grass,grass,grass,,grass,grass,grass,grass,grass,,grass,grass,grass,grass,grass,,grass,grass,grass,grass,grass,,grass,grass,grass,grass,endClosed,,,,,,,,,warp,,boulder,,,,,boulder,gem,boulder,,,boulder,gem,boulder,,,boulder,gem,boulder,,hammer,,hammer,boulder,,warp,,,,,,,,
