hash,health,hintsSolution,level,moves,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,s0d0,s0d1,s0d2,s0d3,s0d4,s0d5,s0d6,s1d0,s1d1,s1d2,s1d3,s1d4,s1d5,s1d6,s2d0,s2d1,s2d2,s2d3,s2d4,s2d5,s2d6,s3d0,s3d1,s3d2,s3d3,s3d4,s3d5,s3d6,s4d0,s4d1,s4d2,s4d3,s4d4,s4d5,s4d6,s5d0,s5d1,s5d2,s5d3,s5d4,s5d5,s5d6,s6d0,s6d1,s6d2,s6d3,s6d4,s6d5,s6d6
52,1,"R,D,D,R,L,U",52,6,start,grass,grass,,,,,grass,endClosed,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,enemy,,,,,enemy,,enemy,,,,,enemy,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,"D,D,R,R,L",53,5,start,grass,grass,,,,,grass,grass,grass,,,,,grass,endClosed,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,sword,,,,,gem,enemy,enemy,,,,,gem,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,"D,R,R,U,D,D,L,R",54,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,gem,,,,,hammer,boulder,gem,,,,,enemy,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,"D,U,R,R,D,D,L,R",55,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,hammer,,,,,gem,enemy,boulder,,,,,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,"R,D,R,D,L,L,R,R",56,9,start,grass,grass,,,,,grass,marsh,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,enemy,,gem,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,"R,R,L,L,D,D,R,R",57,14,start,marsh,marsh,,,,,marsh,marsh,marsh,,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,enemy,enemy,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,"D,D,R,U,R,L,L,D",58,8,start,grass,grass,,,,,grass,grass,grass,,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,enemy,gem,,,,,,sword,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,"D,U,R,D,R,D",59,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sword,enemy,,,,,sword,enemy,enemy,,,,,enemy,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,"R,L,D,D,R,R",60,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,,,,,boulder,boulder,boulder,,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,"R,R,L,D,D,L,R,R",61,10,start,marsh,grass,,,,,marsh,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,sword,enemy,,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,"R,R,U,D,L,L,D,D",62,8,start,grass,grass,,,,,grass,grass,grass,,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sword,warp,,,,,enemy,enemy,gem,,,,,,boulder,warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,"D,U,R,R,R",63,5,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,enemy,,,,,sword,enemy,enemy,,,,,warp,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,"R,D,D,L,L,U,U",64,7,endClosed,start,grass,,,,,grass,grass,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,enemy,boulder,sword,,,,,gem,sword,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,"R,R,L,D,L,L",65,6,start,grass,grass,,,,,grass,grass,grass,,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,,boulder,warp,enemy,,,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,"D,L,R,U,R,R,D",66,7,start,grass,grass,,,,,grass,grass,endClosed,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sword,gem,,,,,warp,boulder,,,,,,gem,warp,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,"R,D,U,D,R,D",67,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,,warp,boulder,gem,,,,,hammer,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,"R,D,U,D,R,D",68,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,hammer,,,,,warp,gem,enemy,,,,,sword,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,"D,D,R,R,U,U,D,D",69,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,sword,boulder,gem,,,,,hammer,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,"D,D,R,L,L,U,U,R",70,8,start,grass,endClosed,,,,,grass,grass,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,,warp,warp,boulder,,,,,gem,sword,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,"D,L,L,U,U,D,R,R,U",71,9,grass,grass,start,,,,,grass,grass,endClosed,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,,gem,warp,,,,,,sword,warp,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,"D,R,U,R,D,D",72,9,start,marsh,grass,,,,,marsh,marsh,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,sword,,,,,gem,gem,enemy,,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,"R,U,L,D,L,R,U",73,12,start,marsh,marsh,,,,,marsh,endClosed,marsh,,,,,marsh,marsh,marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,,enemy,,sword,,,,,gem,enemy,warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,"R,D,U,D,L,R,D,D",74,15,start,marsh,marsh,,,,,marsh,marsh,marsh,,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,sword,,,,,warp,gem,enemy,,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,"D,D,R,R,U,D",75,10,start,marsh,marsh,,,,,marsh,marsh,marsh,,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,enemy,,,,,gem,enemy,gem,,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,"R,D",76,2,start,ice,ice,,,,,grass,grass,ice,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,"R,D,L",77,3,start,ice,ice,,,,,marsh,marsh,ice,,,,,endClosed,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,"D,U,R,D",78,4,start,ice,ice,,,,,ice,grass,ice,,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,gem,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,"R,D,R,D",79,4,start,grass,grass,,,,,grass,ice,ice,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,,,,,,,warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,"R,R,D,D,L,R,U",80,7,start,grass,grass,,,,,ice,grass,endClosed,,,,,ice,ice,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sword,,,,,,boulder,,,,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,"D,D,R,U,R,D,L,U,L",81,10,start,grass,marsh,,,,,endClosed,grass,ice,,,,,marsh,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,,enemy,gem,,,,,,sword,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,"R,L,D,R,D",82,5,start,ice,ice,,,,,ice,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,warp,warp,,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2,"D,U,R,R,D,D",83,6,start,grass,grass,,,,,ice,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,boulder,,,,,,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
